iter	Passed	Remaining
0	143	143037
1	143	71773
2	144	48060
3	145	36283
4	146	29188
5	147	24458
6	148	21122
7	149	18547
8	150	16557
9	150	14943
10	151	13625
11	152	12519
12	152	11590
13	153	10794
14	153	10103
15	154	9502
16	155	8978
17	155	8497
18	156	8068
19	156	7680
20	157	7332
21	157	7014
22	158	6726
23	158	6459
24	159	6216
25	159	5992
26	160	5782
27	160	5588
28	161	5407
29	162	5239
30	162	5085
31	163	4937
32	163	4797
33	164	4666
34	164	4544
35	165	4429
36	166	4321
37	166	4216
38	167	4116
39	167	4023
40	168	3933
41	168	3849
42	169	3767
43	169	3689
44	170	3615
45	170	3545
46	171	3475
47	171	3409
48	172	3345
49	172	3285
50	173	3226
51	173	3170
52	174	3115
53	174	3062
54	175	3012
55	175	2963
56	176	2917
57	176	2871
58	177	2830
59	177	2788
60	178	2748
61	179	2708
62	179	2671
63	180	2634
64	180	2598
65	181	2563
66	181	2528
67	181	2492
68	182	2461
69	182	2429
70	183	2399
71	183	2370
72	184	2343
73	185	2315
74	185	2288
75	186	2262
76	186	2237
77	187	2212
78	187	2188
79	188	2164
80	188	2141
81	189	2118
82	189	2097
83	190	2075
84	190	2053
85	191	2032
86	191	2010
87	192	1990
88	192	1971
89	193	1952
90	193	1933
91	194	1915
92	194	1897
93	195	1880
94	195	1863
95	196	1847
96	196	1832
97	197	1816
98	197	1800
99	198	1784
100	198	1769
101	199	1752
102	199	1737
103	199	1723
104	200	1708
105	201	1695
106	201	1681
107	201	1667
108	202	1654
109	202	1641
110	203	1628
111	203	1615
112	204	1603
113	204	1591
114	205	1579
115	205	1567
116	206	1555
117	206	1544
118	207	1532
119	207	1521
120	207	1510
121	208	1500
122	208	1488
123	209	1477
124	209	1467
125	210	1457
126	210	1447
127	210	1436
128	211	1426
129	211	1417
130	212	1407
131	212	1398
132	213	1390
133	213	1381
134	214	1372
135	214	1363
136	215	1355
137	215	1345
138	215	1337
139	216	1329
140	216	1321
141	217	1313
142	217	1305
143	218	1297
144	218	1289
145	219	1282
146	219	1274
147	220	1267
148	220	1259
149	221	1252
150	221	1245
151	221	1238
152	222	1231
153	222	1225
154	223	1218
155	223	1211
156	224	1204
157	224	1198
158	225	1192
159	225	1186
160	226	1180
161	226	1173
162	227	1167
163	227	1161
164	228	1155
165	228	1149
166	229	1143
167	229	1137
168	230	1132
169	230	1126
170	231	1121
171	231	1115
172	232	1110
173	232	1105
174	233	1100
175	234	1095
176	234	1090
177	235	1085
178	235	1080
179	235	1074
180	236	1068
181	236	1063
182	237	1058
183	237	1053
184	238	1049
185	238	1044
186	239	1039
187	239	1034
188	240	1030
189	240	1025
190	241	1021
191	241	1016
192	242	1012
193	242	1007
194	243	1003
195	243	999
196	244	994
197	244	990
198	244	986
199	245	981
200	245	977
201	246	973
202	246	968
203	247	964
204	247	960
205	248	956
206	248	952
207	249	948
208	249	944
209	250	941
210	250	937
211	251	934
212	251	930
213	252	926
214	252	922
215	253	919
216	253	915
217	254	912
218	254	909
219	255	905
220	255	902
221	256	898
222	256	895
223	257	891
224	257	888
225	258	884
226	258	881
227	259	878
228	260	875
229	260	872
230	260	868
231	261	865
232	261	862
233	262	858
234	262	855
235	263	852
236	263	849
237	264	846
238	264	842
239	265	839
240	265	836
241	266	833
242	266	830
243	267	827
244	267	824
245	268	821
246	268	819
247	269	816
248	269	813
249	270	810
250	270	807
251	271	805
252	271	802
253	272	799
254	272	796
255	273	793
256	273	791
257	274	788
258	274	785
259	275	783
260	275	780
261	276	777
262	276	775
263	277	772
264	277	769
265	278	767
266	278	764
267	278	761
268	279	759
269	279	756
270	280	754
271	281	752
272	281	749
273	282	747
274	282	744
275	283	742
276	283	740
277	284	737
278	284	735
279	285	732
280	285	730
281	286	728
282	286	725
283	286	723
284	287	721
285	287	718
286	288	716
287	288	714
288	289	711
289	289	709
290	290	707
291	290	704
292	291	702
293	291	700
294	292	698
295	292	696
296	293	693
297	293	691
298	294	689
299	294	687
300	295	685
301	295	683
302	296	680
303	296	678
304	296	676
305	297	674
306	297	672
307	298	670
308	298	668
309	299	666
310	299	664
311	300	662
312	300	660
313	301	658
314	301	656
315	302	654
316	302	652
317	303	650
318	303	648
319	304	646
320	304	644
321	305	642
322	305	640
323	305	638
324	306	636
325	306	634
326	307	632
327	307	630
328	308	628
329	308	626
330	309	625
331	309	623
332	310	621
333	310	619
334	311	617
335	311	615
336	312	614
337	312	612
338	313	610
339	313	608
340	314	607
341	314	605
342	315	603
343	315	601
344	316	600
345	316	598
346	317	596
347	317	594
348	318	593
349	318	591
350	319	589
351	319	588
352	320	586
353	320	584
354	320	583
355	321	581
356	321	579
357	322	578
358	323	576
359	323	575
360	324	573
361	324	572
362	325	570
363	325	569
364	326	567
365	326	566
366	327	564
367	327	563
368	328	561
369	328	559
370	329	558
371	329	556
372	330	555
373	330	553
374	331	552
375	331	550
376	332	549
377	332	547
378	333	545
379	333	544
380	334	542
381	334	541
382	335	539
383	335	538
384	336	536
385	336	535
386	337	533
387	337	532
388	338	530
389	338	529
390	338	527
391	339	526
392	339	524
393	340	523
394	341	522
395	341	520
396	341	519
397	342	518
398	342	516
399	343	515
400	343	513
401	344	512
402	344	510
403	345	509
404	345	507
405	346	506
406	346	505
407	347	503
408	347	502
409	348	501
410	348	499
411	349	498
412	350	497
413	350	496
414	351	494
415	351	493
416	352	492
417	352	491
418	353	489
419	353	488
420	354	487
421	354	485
422	355	484
423	355	483
424	356	481
425	356	480
426	357	479
427	357	477
428	358	476
429	358	475
430	359	474
431	359	472
432	360	471
433	360	470
434	361	469
435	361	467
436	362	466
437	362	465
438	363	464
439	363	462
440	364	461
441	364	460
442	365	458
443	365	457
444	366	456
445	366	455
446	367	454
447	367	452
448	368	451
449	368	450
450	369	449
451	369	448
452	370	447
453	370	445
454	371	444
455	371	443
456	372	442
457	372	440
458	372	439
459	373	438
460	373	437
461	374	435
462	374	434
463	375	433
464	375	432
465	376	431
466	376	429
467	377	428
468	377	427
469	378	426
470	378	425
471	379	424
472	379	423
473	380	421
474	380	420
475	381	419
476	381	418
477	382	417
478	382	416
479	382	414
480	383	413
481	383	412
482	384	411
483	384	410
484	385	409
485	385	408
486	386	407
487	386	405
488	387	404
489	387	403
490	388	402
491	388	401
492	389	400
493	389	399
494	390	398
495	390	397
496	391	395
497	391	394
498	392	393
499	392	392
500	393	391
501	393	390
502	394	389
503	394	388
504	395	387
505	395	386
506	396	385
507	396	384
508	397	383
509	397	382
510	398	381
511	398	380
512	399	379
513	399	378
514	400	377
515	400	376
516	401	375
517	401	373
518	402	372
519	402	371
520	403	370
521	403	369
522	404	368
523	404	367
524	405	366
525	405	365
526	406	364
527	406	363
528	407	362
529	407	361
530	408	360
531	408	359
532	409	358
533	409	357
534	410	356
535	410	355
536	410	354
537	411	353
538	411	352
539	412	351
540	412	350
541	413	349
542	413	348
543	414	347
544	414	346
545	415	345
546	415	344
547	416	343
548	416	342
549	417	341
550	417	340
551	418	339
552	418	338
553	419	337
554	419	336
555	420	335
556	420	334
557	420	333
558	421	332
559	421	331
560	422	330
561	422	329
562	423	328
563	423	327
564	424	326
565	424	325
566	425	324
567	425	323
568	426	322
569	426	321
570	427	320
571	427	319
572	427	318
573	428	317
574	428	316
575	429	316
576	429	315
577	430	314
578	430	313
579	431	312
580	431	311
581	432	310
582	432	309
583	433	308
584	433	307
585	434	306
586	434	305
587	435	304
588	435	304
589	436	303
590	436	302
591	437	301
592	437	300
593	438	299
594	438	298
595	439	297
596	439	296
597	440	295
598	440	295
599	441	294
600	441	293
601	442	292
602	442	291
603	443	290
604	443	289
605	444	288
606	444	287
607	445	286
608	445	286
609	446	285
610	446	284
611	447	283
612	447	282
613	448	281
614	448	280
615	449	279
616	449	279
617	450	278
618	450	277
619	451	276
620	451	275
621	452	274
622	452	274
623	453	273
624	453	272
625	454	271
626	454	270
627	455	269
628	455	268
629	456	267
630	456	267
631	457	266
632	457	265
633	457	264
634	458	263
635	458	262
636	459	261
637	459	260
638	460	260
639	461	259
640	461	258
641	462	257
642	462	256
643	463	256
644	463	255
645	464	254
646	464	253
647	465	252
648	465	252
649	466	251
650	467	250
651	467	249
652	468	248
653	468	247
654	469	247
655	469	246
656	470	245
657	470	244
658	471	243
659	471	242
660	472	242
661	472	241
662	473	240
663	473	239
664	474	238
665	474	237
666	475	237
667	475	236
668	476	235
669	476	234
670	477	233
671	477	233
672	478	232
673	478	231
674	479	230
675	479	229
676	480	229
677	480	228
678	481	227
679	482	226
680	482	226
681	483	225
682	483	224
683	483	223
684	484	222
685	484	221
686	485	221
687	485	220
688	486	219
689	487	218
690	487	218
691	488	217
692	488	216
693	489	215
694	489	214
695	490	214
696	490	213
697	490	212
698	491	211
699	491	210
700	492	210
701	493	209
702	493	208
703	494	207
704	494	207
705	495	206
706	495	205
707	496	204
708	496	203
709	497	203
710	497	202
711	498	201
712	498	200
713	499	199
714	499	199
715	500	198
716	500	197
717	500	196
718	501	195
719	501	195
720	502	194
721	502	193
722	503	192
723	503	192
724	504	191
725	504	190
726	505	189
727	505	189
728	506	188
729	507	187
730	507	186
731	508	186
732	508	185
733	509	184
734	509	183
735	510	182
736	510	182
737	511	181
738	511	180
739	511	179
740	512	179
741	512	178
742	513	177
743	513	176
744	514	176
745	515	175
746	515	174
747	516	173
748	516	173
749	517	172
750	517	171
751	517	170
752	518	170
753	518	169
754	519	168
755	519	167
756	520	167
757	520	166
758	521	165
759	522	164
760	522	164
761	523	163
762	523	162
763	524	161
764	524	161
765	525	160
766	525	159
767	526	159
768	526	158
769	527	157
770	527	156
771	528	156
772	528	155
773	529	154
774	529	153
775	530	153
776	530	152
777	531	151
778	531	150
779	532	150
780	532	149
781	533	148
782	533	147
783	534	147
784	534	146
785	535	145
786	535	144
787	536	144
788	536	143
789	537	142
790	537	142
791	538	141
792	538	140
793	539	139
794	539	139
795	540	138
796	540	137
797	541	136
798	541	136
799	542	135
800	542	134
801	543	134
802	543	133
803	544	132
804	544	131
805	544	131
806	545	130
807	545	129
808	546	128
809	546	128
810	547	127
811	547	126
812	548	126
813	548	125
814	549	124
815	549	123
816	550	123
817	550	122
818	551	121
819	551	121
820	552	120
821	552	119
822	553	119
823	553	118
824	554	117
825	554	116
826	555	116
827	555	115
828	556	114
829	556	114
830	557	113
831	557	112
832	558	111
833	558	111
834	559	110
835	559	109
836	560	109
837	560	108
838	561	107
839	561	106
840	562	106
841	562	105
842	563	104
843	563	104
844	564	103
845	564	102
846	565	102
847	565	101
848	565	100
849	566	99
850	566	99
851	567	98
852	567	97
853	568	97
854	568	96
855	569	95
856	569	95
857	570	94
858	570	93
859	571	93
860	571	92
861	572	91
862	572	90
863	573	90
864	573	89
865	574	88
866	574	88
867	575	87
868	575	86
869	576	86
870	576	85
871	577	84
872	577	84
873	578	83
874	578	82
875	579	81
876	579	81
877	580	80
878	580	79
879	581	79
880	581	78
881	582	77
882	582	77
883	583	76
884	583	75
885	584	75
886	584	74
887	585	73
888	585	73
889	586	72
890	586	71
891	587	71
892	587	70
893	588	69
894	588	69
895	589	68
896	589	67
897	589	67
898	590	66
899	590	65
900	591	64
901	591	64
902	592	63
903	592	62
904	593	62
905	593	61
906	594	60
907	594	60
908	595	59
909	595	58
910	596	58
911	596	57
912	597	56
913	597	56
914	598	55
915	598	54
916	598	54
917	599	53
918	599	52
919	600	52
920	600	51
921	601	50
922	601	50
923	602	49
924	602	48
925	603	48
926	603	47
927	604	46
928	604	46
929	604	45
930	605	44
931	605	44
932	606	43
933	606	42
934	607	42
935	607	41
936	608	40
937	608	40
938	609	39
939	609	38
940	609	38
941	610	37
942	610	36
943	611	36
944	611	35
945	612	34
946	612	34
947	613	33
948	613	32
949	614	32
950	614	31
951	615	31
952	615	30
953	616	29
954	616	29
955	617	28
956	617	27
957	618	27
958	618	26
959	619	25
960	619	25
961	620	24
962	620	23
963	621	23
964	621	22
965	622	21
966	622	21
967	623	20
968	623	19
969	624	19
970	624	18
971	625	18
972	625	17
973	626	16
974	626	16
975	627	15
976	627	14
977	628	14
978	628	13
979	628	12
980	629	12
981	629	11
